Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,7/20/22,,,,,
,,,,,,
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21803000,21919000,22156000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3274021191,3318682068,3363196656
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6420460567,6494812232,6566551568
Lesotho,LSO,"Population, total",SP.POP.TOTL,2125267,2142252,2159067
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2308520840,2316803603,2322070390
Lithuania,LTU,"Population, total",SP.POP.TOTL,2794137,2794885,2795321
Luxembourg,LUX,"Population, total",SP.POP.TOTL,620001,630419,639070
Latvia,LVA,"Population, total",SP.POP.TOTL,1913822,1900449,1883162
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,640446,649342,658391
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,38002,38659,39239
Morocco,MAR,"Population, total",SP.POP.TOTL,36471766,36910558,37344787
Monaco,MCO,"Population, total",SP.POP.TOTL,38967,39244,39520
Moldova,MDA,"Population, total",SP.POP.TOTL,2664974,2620495,2573928
Madagascar,MDG,"Population, total",SP.POP.TOTL,26969306,27691019,28427333
Maldives,MDV,"Population, total",SP.POP.TOTL,530957,540542,543620
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,456709496,464542370,472494995
Mexico,MEX,"Population, total",SP.POP.TOTL,127575529,128932753,130262220
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,58791,59194,59618
Middle income,MIC,"Population, total",SP.POP.TOTL,5754728710,5811279241,5864624595
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2076694,2072531,2065092
Mali,MLI,"Population, total",SP.POP.TOTL,19658023,20250834,20855724
Malta,MLT,"Population, total",SP.POP.TOTL,504062,515332,516869
Myanmar,MMR,"Population, total",SP.POP.TOTL,54045422,54409794,54806014
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,389457075,396147843,403051615
Montenegro,MNE,"Population, total",SP.POP.TOTL,622028,621306,620173
Mongolia,MNG,"Population, total",SP.POP.TOTL,3225166,3278292,3329282
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,57213,57557,57910
Mozambique,MOZ,"Population, total",SP.POP.TOTL,30366043,31255435,32163045
Mauritania,MRT,"Population, total",SP.POP.TOTL,4525698,4649660,4775110
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265711,1265740,1266060
Malawi,MWI,"Population, total",SP.POP.TOTL,18628749,19129955,19647681
Malaysia,MYS,"Population, total",SP.POP.TOTL,31949789,32365998,32776195
North America,NAC,"Population, total",SP.POP.TOTL,365995094,369602177,370203720
Namibia,NAM,"Population, total",SP.POP.TOTL,2494524,2540916,2587344
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271300,271960,272620
Niger,NER,"Population, total",SP.POP.TOTL,23310719,24206636,25130810
Nigeria,NGA,"Population, total",SP.POP.TOTL,200963603,206139587,211400704
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6545503,6624554,6702379
Netherlands,NLD,"Population, total",SP.POP.TOTL,17344874,17441500,17533405
Norway,NOR,"Population, total",SP.POP.TOTL,5347896,5379475,5408320
Nepal,NPL,"Population, total",SP.POP.TOTL,28608715,29136808,29674920
Nauru,NRU,"Population, total",SP.POP.TOTL,10764,10834,10873
New Zealand,NZL,"Population, total",SP.POP.TOTL,4979200,5090200,5122600
OECD members,OED,"Population, total",SP.POP.TOTL,1365274704,1372980201,1375820281
Oman,OMN,"Population, total",SP.POP.TOTL,4974992,5106622,5223376
Other small states,OSS,"Population, total",SP.POP.TOTL,31361216,31929881,32464282
Pakistan,PAK,"Population, total",SP.POP.TOTL,216565317,220892331,225199929
Panama,PAN,"Population, total",SP.POP.TOTL,4246440,4314768,4381583
Peru,PER,"Population, total",SP.POP.TOTL,32510462,32971846,33359416
Philippines,PHL,"Population, total",SP.POP.TOTL,108116622,109581085,111046910
Palau,PLW,"Population, total",SP.POP.TOTL,18001,18092,18174
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8776119,8947027,9119005
Poland,POL,"Population, total",SP.POP.TOTL,37965475,37899070,37781024
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,944902748,970795671,997158227
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3193694,3281538,3263584
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25666158,25778815,25887045
Portugal,PRT,"Population, total",SP.POP.TOTL,10286263,10297081,10299423
Paraguay,PRY,"Population, total",SP.POP.TOTL,7044639,7132530,7219641
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4685306,4803269,4922749
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2491878,2528958,2566494
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1113142897,1117278019,1116655196
French Polynesia,PYF,"Population, total",SP.POP.TOTL,279285,280904,282534
Qatar,QAT,"Population, total",SP.POP.TOTL,2832071,2881060,2930524
Romania,ROU,"Population, total",SP.POP.TOTL,19371648,19257520,19115146
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144406261,144073139,143446060
Rwanda,RWA,"Population, total",SP.POP.TOTL,12626938,12952209,13276517
South Asia,SAS,"Population, total",SP.POP.TOTL,1835776769,1856882402,1877902324
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,34268529,34813867,35340680
Sudan,SDN,"Population, total",SP.POP.TOTL,42813237,43849269,44909351
Senegal,SEN,"Population, total",SP.POP.TOTL,16296362,16743930,17196308
Singapore,SGP,"Population, total",SP.POP.TOTL,5703569,5685807,5453566
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,669821,686878,703995
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7813207,7976985,8141343
El Salvador,SLV,"Population, total",SP.POP.TOTL,6453550,6486201,6518500
San Marino,SMR,"Population, total",SP.POP.TOTL,33864,33938,34010
Somalia,SOM,"Population, total",SP.POP.TOTL,15442906,15893219,16359500
Serbia,SRB,"Population, total",SP.POP.TOTL,6945235,6899126,6844078
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1106860245,1135948313,1165464785
South Sudan,SSD,"Population, total",SP.POP.TOTL,11062114,11193729,11381377
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1106957870,1136046775,1165563987
Small states,SST,"Population, total",SP.POP.TOTL,41254483,41901130,42512407
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,215048,219161,223364
Suriname,SUR,"Population, total",SP.POP.TOTL,581363,586634,591798
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5454147,5458827,5447247
Slovenia,SVN,"Population, total",SP.POP.TOTL,2088385,2102419,2107007
Sweden,SWE,"Population, total",SP.POP.TOTL,10278887,10353442,10415811
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1148133,1160164,1172369
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,41608,42310,42846
Seychelles,SYC,"Population, total",SP.POP.TOTL,97625,98462,99202
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17070132,17500657,18275704
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,38194,38718,39226
Chad,TCD,"Population, total",SP.POP.TOTL,15946882,16425859,16914985
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2078012370,2088186305,2096155040
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,460788476,462100263,462624055
Togo,TGO,"Population, total",SP.POP.TOTL,8082359,8278737,8478242
Thailand,THA,"Population, total",SP.POP.TOTL,69625581,69799978,69950844
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9321023,9537642,9749625
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5942094,6031187,6117933
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,630644771,636492840,642239838
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1293120,1318442,1343875
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,384771769,391344574,398128866
Tonga,TON,"Population, total",SP.POP.TOTL,104497,105697,106759
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1835776769,1856882402,1877902324
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1106957870,1136046775,1165563987
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1394969,1399491,1403374
Tunisia,TUN,"Population, total",SP.POP.TOTL,11694721,11818618,11935764
Turkiye,TUR,"Population, total",SP.POP.TOTL,83429607,84339067,85042736
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11655,11792,11925
Tanzania,TZA,"Population, total",SP.POP.TOTL,58005461,59734213,61498438
Uganda,UGA,"Population, total",SP.POP.TOTL,44269587,45741000,47123533
Ukraine,UKR,"Population, total",SP.POP.TOTL,44386203,44132049,43814581
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2480707519,2492597173,2501427939
Uruguay,URY,"Population, total",SP.POP.TOTL,3461731,3473727,3485152
United States,USA,"Population, total",SP.POP.TOTL,328329953,331501080,331893745
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,33580350,34232050,34915100
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110593,110947,111269
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28515829,28435943,28704947
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30033,30237,30423
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106669,106290,105870
Vietnam,VNM,"Population, total",SP.POP.TOTL,96462108,97338583,98168829
Vanuatu,VUT,"Population, total",SP.POP.TOTL,299882,307150,314464
World,WLD,"Population, total",SP.POP.TOTL,7683806444,7763932702,7836630792
Samoa,WSM,"Population, total",SP.POP.TOTL,197093,198410,200144
Kosovo,XKX,"Population, total",SP.POP.TOTL,1788878,1790133,1806279
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,29161922,29825968,30490639
South Africa,ZAF,"Population, total",SP.POP.TOTL,58558267,59308690,60041996
Zambia,ZMB,"Population, total",SP.POP.TOTL,17861034,18383956,18920657
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14645473,14862927,15092171
